lostid,PartnerID,PC,PCName,Found_Date,Lost_Date,Found_Color,Lost_Color,Found_CaseColor,Lost_CaseColor,Found_Brand,Lost_Brand,Found_Material,Lost_Material,Found_CustomAttr,Lost_CustomAttr,Found_DDLocation,Lost_DDLocation,Found_Room_flight,Lost_Room_flight,Found_SerialNumber,Lost_SerialNumber,Found_Cash,Lost_Cash
22256299,16130,66,Credit or Debit card,03/13/2022,03/21/2022,0,0,0,0,98,98,0,0,8719,8719,0,0,,,,,0,0
21430048,16130,187,Camera,01/04/2022,01/04/2022,2,2,2,2,1276,1276,0,0,8551,8551,0,0,,,,,0,0
23381623,6392,66,Credit or Debit card,06/12/2022,06/12/2022,0,0,0,0,98,98,0,0,13319,1294,0,0,105,,,,0,0
23114515,16130,67,Wallet,05/24/2022,05/24/2022,0,2,0,0,996,0,0,39,8552,8552,0,0,,,,,0,0
21800668,17017,67,Wallet,02/12/2022,02/12/2022,0,2,0,0,0,0,0,39,19055,19055,129,0,,,,,0,0
23582446,16734,231,iPhone,06/26/2022,06/26/2022,4,4,4,2,0,0,0,0,14843,14843,0,3044,,,,,0,0
22067189,17386,245,Clothing - Other,03/12/2022,03/05/2022,9,0,0,0,978,0,6,0,20046,20046,0,0,,,,,0,0
22115188,16910,65,Drivers License,04/24/2022,03/10/2022,0,0,0,0,0,0,0,0,16173,16173,810,0,,,,,0,0
22773265,16788,218,iPad,04/28/2022,04/28/2022,10,10,3,3,0,0,0,0,14426,14426,1251,1248,,,,,0,0
22058107,3306,184,"Android, Blackberry, Windows, Other",03/05/2022,03/05/2022,4,4,0,0,3023,0,0,0,0,0,0,0,,,,,0,0
21855553,16650,66,Credit or Debit card,02/08/2022,02/09/2022,0,0,0,0,0,0,0,0,25260,25260,0,0,,,,,0,0
23057004,16130,66,Credit or Debit card,05/20/2022,05/20/2022,10,0,17,0,1758,97,0,0,8554,8554,0,0,,,355841112836265,,0,0
22293117,16130,68,Passport,03/23/2022,03/23/2022,0,0,0,0,0,0,0,0,8555,8555,402,402,,,,,0,0
21727410,17017,64,Folder,02/04/2022,02/05/2022,2,2,0,0,0,0,0,0,19076,19076,0,0,,,,,0,0
21622027,16130,135,Backpack,01/24/2022,01/24/2022,11,4,0,0,0,0,0,0,8552,8552,0,0,,,,,0,0
21547222,16130,57,Business papers,01/16/2022,01/17/2022,0,0,0,0,98,0,0,0,8719,8719,0,0,,,,,0,0
21427264,16130,47,Cap,01/04/2022,01/04/2022,1,1,0,0,0,0,0,0,8554,8554,0,0,,,,,0,0
22946281,16130,66,Credit or Debit card,05/12/2022,05/12/2022,11,0,0,0,0,98,0,0,8555,8555,0,0,,,,,0,0
22965824,16912,212,Toy,05/11/2022,05/13/2022,0,0,0,0,0,0,0,0,16190,16190,0,0,,,,,0,0
22139651,16496,246,Sweater,03/11/2022,03/12/2022,5,16,0,0,0,0,68,0,13163,13163,0,0,,,,,0,0
21667955,13495,143,Sunglasses,01/29/2022,01/30/2022,20,9,2,2,1387,2755,0,0,0,0,0,0,,,,,0,0
23006624,5894,206,Money,05/16/2022,05/16/2022,0,0,0,0,0,0,0,0,1245,1245,0,0,2608,E 2608,,,3200,3300
21411788,12196,67,Wallet,01/03/2022,01/03/2022,3,9,0,0,1656,997,39,39,0,0,0,0,,,,,0,0
22391034,16508,2,Pants,03/31/2022,03/31/2022,8,9,0,0,976,0,0,0,12728,12728,0,0,,,,,0,0
23619790,14063,184,"Android, Blackberry, Windows, Other",06/26/2022,06/28/2022,8,8,8,17,829,829,0,0,0,0,0,0,,,,,0,0
22322311,16130,231,iPhone,03/25/2022,03/26/2022,14,8,17,17,0,0,0,0,8554,8554,0,0,,,,,0,0
21640437,13151,66,Credit or Debit card,01/27/2022,01/27/2022,8,0,0,0,0,98,39,0,10873,10873,0,0,N/A,N/A,,,0,0
23521812,16650,67,Wallet,06/15/2022,06/15/2022,0,2,0,0,98,702,0,39,25238,25238,0,0,M15,,,,0,0
21693148,16130,66,Credit or Debit card,02/01/2022,02/01/2022,11,0,0,0,1693,696,40,0,8555,8555,0,0,,,,,0,0
22568456,17745,83,Travel mug,04/12/2022,04/13/2022,9,9,0,0,0,0,0,0,0,0,0,0,,,,,0,0
23088661,13508,146,Prescription glasses,05/22/2022,05/22/2022,2,2,2,2,0,0,0,0,0,0,0,0,,,,,0,0
22417972,16367,397,Jeans,04/01/2022,04/02/2022,0,4,0,0,0,2049,0,0,0,0,0,0,,,,,0,0
23003518,16650,206,Money,05/09/2022,05/10/2022,0,0,0,0,0,0,0,0,22177,25255,0,0,Bus #104 or #7 or #11,,,,19.65,19.65
